Age,Profession,Gender,Education,Purpose of Trip,Customization of services,Schedule Convenience,On time performances,Increase in comfort,food customization,Rewards,Event Tours,Special pricing for Affinity Charters,Stress-Free Travel,Tight Security,Service assistance,Collaboration across borders,Morden airport,sustainability-minded travelers,Smooth transition,hyper-personalization,Data Privacy,Entertainment,Access to Internet
25-44,Business person or trader,Male,Post graduate and above,Medical,Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Neutral (3),Neutral (3)
25-44,Returning Indian,Male,Graduate,Medical,Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Effective (4),Neutral (3),Neutral (3)
65 and above,NRI,Male,Graduate,Business,Effective (4),Very Effective (5),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5)
25-44,Returning Indian,Male,Graduate,Leisure,Effective (4),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Neutral (3),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Neutral (3),Effective (4),Effective (4),Very Effective (5),Neutral (3)
45-64,Employed with a firm,Male,Post graduate and above,Cargo,Effective (4),Effective (4),Effective (4),Effective (4),Neutral (3),Very Effective (5),Neutral (3),Neutral (3),Neutral (3),Effective (4),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3)
25-44,Employed with a firm,Male,Graduate,Cargo,Neutral (3),Neutral (3),Very Effective (5),Effective (4),Effective (4),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3),Neutral (3)
45-64,Business person or trader,Male,Post graduate and above,Medical,Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Not Very Effective (1),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4)
25-44,Employed with a firm,Female,Post graduate and above,Leisure,Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Effective (4),Neutral (3),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Effective (4),Neutral (3),Neutral (3)
45-64,Business person or trader,Male,Post graduate and above,Leisure,Effective (4),Effective (4),Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Very Effective (5),Effective (4),Very Effective (5),Less Effective (2),Neutral (3),Effective (4),Neutral (3),Effective (4),Effective (4),Neutral (3),Effective (4),Neutral (3),Less Effective (2)
25-44,Employed with a firm,Male,Graduate,Leisure,Effective (4),Very Effective (5),Very Effective (5),Very Effective (5),Effective (4),Effective (4),Neutral (3),Effective (4),Effective (4),Less Effective (2),Neutral (3),Effective (4),Neutral (3),Neutral (3),Effective (4),Neutral (3),Less Effective (2),Less Effective (2),Effective (4)
45-64,Employed with a firm,Male,Post graduate and above,Leisure,Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Neutral (3),Effective (4),Effective (4),Effective (4),Neutral (3),Effective (4),Effective (4),Effective (4),Very Effective (5),Effective (4),Effective (4),Effective (4),Effective (4),Very Effective (5)
